Bates/Control #,End Bates/Control #,Author,Bcc,Cc,Date Sent,Date Received,From,Title,Subject,To,Filename,Privilege,Privilege Reason,Redactions
SYNLCPRV024-0000001,SYNLCPRV024-0000001,Synthetic Person 001,blind001@example.test,copy001@example.test,2025-01-01 09:30:00 -08:00,2025-01-01 09:31:00 -08:00,sender001@example.test,Synthetic title 00000,Synthetic subject 00000,recipient001@example.test,synthetic_document_00000.pdf,Yes,Synthetic attorney-client,Yes
SYNLCPRV024-0000005,SYNLCPRV024-0000006,Synthetic Person 002,blind002@example.test,copy002@example.test,2025-02-02 09:30:00 -08:00,2025-02-02 09:31:00 -08:00,sender002@example.test,Synthetic title 00001,Synthetic subject 00001,recipient002@example.test,synthetic_document_00001.pdf,No,Synthetic work product,
SYNLCPRV024-0000009,SYNLCPRV024-0000011,Synthetic Person 003,blind003@example.test,copy003@example.test,2025-03-03 09:30:00 -08:00,2025-03-03 09:31:00 -08:00,sender003@example.test,Synthetic title 00002,Synthetic subject 00002,recipient003@example.test,synthetic_document_00002.pdf,Yes,Synthetic joint defense,
SYNLCPRV024-0000013,SYNLCPRV024-0000013,Synthetic Person 004,blind004@example.test,copy004@example.test,2025-04-04 09:30:00 -08:00,2025-04-04 09:31:00 -08:00,sender004@example.test,Synthetic title 00003,Synthetic subject 00003,recipient004@example.test,synthetic_document_00003.pdf,No,Synthetic attorney-client,
SYNLCPRV024-0000017,SYNLCPRV024-0000018,Synthetic Person 005,blind005@example.test,copy005@example.test,2025-05-05 09:30:00 -08:00,2025-05-05 09:31:00 -08:00,sender005@example.test,Synthetic title 00004,Synthetic subject 00004,recipient005@example.test,synthetic_document_00004.pdf,Yes,Synthetic work product,Yes
SYNLCPRV024-0000021,SYNLCPRV024-0000023,Synthetic Person 006,blind006@example.test,copy006@example.test,2025-06-06 09:30:00 -08:00,2025-06-06 09:31:00 -08:00,sender006@example.test,Synthetic title 00005,Synthetic subject 00005,recipient006@example.test,synthetic_document_00005.pdf,No,Synthetic joint defense,
SYNLCPRV024-0000025,SYNLCPRV024-0000025,Synthetic Person 007,blind007@example.test,copy007@example.test,2025-07-07 09:30:00 -08:00,2025-07-07 09:31:00 -08:00,sender007@example.test,Synthetic title 00006,Synthetic subject 00006,recipient007@example.test,synthetic_document_00006.pdf,Yes,Synthetic attorney-client,
SYNLCPRV024-0000029,SYNLCPRV024-0000030,Synthetic Person 008,blind008@example.test,copy008@example.test,2025-08-08 09:30:00 -08:00,2025-08-08 09:31:00 -08:00,sender008@example.test,Synthetic title 00007,Synthetic subject 00007,recipient008@example.test,synthetic_document_00007.pdf,No,Synthetic work product,
SYNLCPRV024-0000033,SYNLCPRV024-0000035,Synthetic Person 009,blind009@example.test,copy009@example.test,2025-09-09 09:30:00 -08:00,2025-09-09 09:31:00 -08:00,sender009@example.test,Synthetic title 00008,Synthetic subject 00008,recipient009@example.test,synthetic_document_00008.pdf,Yes,Synthetic joint defense,Yes
SYNLCPRV024-0000037,SYNLCPRV024-0000037,Synthetic Person 010,blind010@example.test,copy010@example.test,2025-10-10 09:30:00 -08:00,2025-10-10 09:31:00 -08:00,sender010@example.test,Synthetic title 00009,Synthetic subject 00009,recipient010@example.test,synthetic_document_00009.pdf,No,Synthetic attorney-client,
